Timestamp,what class do you main,which do you prefer,do you like environmental hazards,which do you like better,what's better,halloween spells,do you like dustbowl,what do you consider the peak 100 player experience
12/6/2023 12:34:13,engie,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,yes,Sentry
12/6/2023 12:34:15,engie,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,no,fart
12/6/2023 12:34:15,engie,mid range,Yes,pushing the flank,open spaces,bad,no,Braindead demoman spamming
12/6/2023 12:34:22,soldier,mid range,No,pushing the flank,open spaces,bad,yes,Spam!!!
12/6/2023 12:34:24,sniper,mid range,Yes,fighting frontline,open spaces,bad,no,i like when the players play
12/6/2023 12:34:27,demo,mid range,Yes,pushing the flank,open spaces,good,yes,"chaos, pure sentry spam"
12/6/2023 12:34:27,demo,mid range,Yes,pushing the flank,enclosed spaces,good,yes,sentry nest
12/6/2023 12:34:31,demo,mid range,Yes,pushing the flank,open spaces,good,no,"Well it was degroot keep, because yes"
12/6/2023 12:34:33,medic,mid range,Yes,fighting frontline,open spaces,good,yes,"Open, vertical map."
12/6/2023 12:34:37,soldier,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,MURDER!!
12/6/2023 12:34:42,engie,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,sitting on a sentry on a point and seeing my enemies suffer
12/6/2023 12:34:44,spy,close quarters fighting,No,fighting frontline,enclosed spaces,good,no,doomsday
12/6/2023 12:34:47,sniper,long range,No,pushing the flank,open spaces,good,no,spawncamp ctf well 30 mins
12/6/2023 12:34:47,soldier,mid range,Yes,pushing the flank,enclosed spaces,good,no,like the trenches of world war one
12/6/2023 12:34:49,engie,mid range,Yes,pushing the flank,open spaces,good,yes,chaos
12/6/2023 12:34:53,heavy,close quarters fighting,Yes,fighting frontline,enclosed spaces,bad,yes,deafening hitsound noise
12/6/2023 12:34:54,demo,mid range,No,pushing the flank,open spaces,bad,yes,long lob shots
12/6/2023 12:34:55,demo,close quarters fighting,Yes,fighting frontline,enclosed spaces,bad,yes,Ubering in as demo and killing 15 people
12/6/2023 12:34:55,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,no,"Pain, WW1 Trenches"
12/6/2023 12:34:56,soldier,mid range,Yes,pushing the flank,open spaces,bad,yes,fun
12/6/2023 12:34:57,soldier,mid range,Yes,fighting frontline,open spaces,good,no,"big, open spaces that are actually meant for 100 players instead of like 2"
12/6/2023 12:34:59,engie,mid range,Yes,fighting frontline,open spaces,good,yes,A massive amount of things happening 
12/6/2023 12:35:01,spy,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,yes,haiiiii stream :3
12/6/2023 12:35:01,demo,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,dustbowl
12/6/2023 12:35:02,scout,mid range,Yes,fighting frontline,open spaces,bad,yes,heavy fortress 2
12/6/2023 12:35:02,heavy,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,yes,A single ubered phlog pyro destroying 50 players
12/6/2023 12:35:03,engie,mid range,Yes,pushing the flank,open spaces,good,yes,having actual front lines
12/6/2023 12:35:05,medic,mid range,Yes,fighting frontline,open spaces,bad,no,idk dude
12/6/2023 12:35:05,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,yes,Multiple objectives being push simultaneously 
12/6/2023 12:35:06,demo,mid range,No,fighting frontline,open spaces,bad,yes,Spamming on the same chokepoint for an hour
12/6/2023 12:35:06,pyro,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,yes,phlog
12/6/2023 12:35:07,demo,mid range,Yes,pushing the flank,open spaces,bad,no,cp_steel
12/6/2023 12:35:07,engie,close quarters fighting,Yes,fighting frontline,open spaces,bad,yes,25% of the team being engie and all building on last
12/6/2023 12:35:09,soldier,close quarters fighting,No,fighting frontline,enclosed spaces,bad,yes,spamming rockets
12/6/2023 12:35:09,medic,mid range,Yes,pushing the flank,enclosed spaces,bad,no,Vaccinator spam. For the cool sfx.
12/6/2023 12:35:10,soldier,close quarters fighting,No,fighting frontline,open spaces,bad,yes,using manmelter to extinguish because there's 50 enemy scorch shot pyros
12/6/2023 12:35:10,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,yes,p h l o g p y r o
12/6/2023 12:35:10,engie,mid range,Yes,pushing the flank,open spaces,good,yes,"I like when everyone plays demo and does the ""KABOOM"" taunt at the same time."
12/6/2023 12:35:11,soldier,mid range,No,pushing the flank,open spaces,bad,no,The novelty of 100 player TF2 its frustrating with Engie stacking but everything else is fun
12/6/2023 12:35:12,soldier,close quarters fighting,No,pushing the flank,open spaces,bad,no,50 crit rocket kill
12/6/2023 12:35:14,spy,close quarters fighting,Yes,pushing the flank,open spaces,good,no,pushing through a tough choke after being stuck there for like half an hour
12/6/2023 12:35:16,soldier,mid range,Yes,pushing the flank,open spaces,bad,no,"Rocket Jumping into the Frontlines from a Flank, killing a single person then dying."
12/6/2023 12:35:18,engie,close quarters fighting,Yes,fighting frontline,open spaces,good,yes,adding just 1 more to the dispenser pile to hopefully crash the server
12/6/2023 12:35:19,heavy,mid range,Yes,fighting frontline,open spaces,bad,no,Everyone working together to push into last
12/6/2023 12:35:22,scout,mid range,Yes,pushing the flank,open spaces,bad,yes,sentry going up!
12/6/2023 12:35:27,engie,mid range,No,pushing the flank,open spaces,good,no,"i havent played on the trenches yet, first time i knew the server is actualy puplic"
12/6/2023 12:35:27,medic,long range,No,pushing the flank,open spaces,good,no,"I like Dragon's Fury pyro with the mannmelter. I can get so many free mannmelter crits from extinguishing teammates. 

Also, I would love to genuinely see a PASS Time map made for 50 v 50. Maybe I'll get started on making it. I'll hit you up with how it's going."
12/6/2023 12:35:28,soldier,mid range,Yes,fighting frontline,open spaces,good,yes,dying to something I couldn't see through all the particle effects while my pc dies
